07:24:26 start m1 ['nominal', 'duplicate'] attempt 1
07:35:03 end m1 ['nominal', 'duplicate'] attempt 1: status=passed passed=6/6 isolation=True run=1Z-1e7033df/m1-20260923T072427Z-9b27a690
07:35:14 start m1 ['stale_epoch', 'expired_intent'] attempt 1
07:45:57 end m1 ['stale_epoch', 'expired_intent'] attempt 1: status=passed passed=6/6 isolation=True run=1Z-1e7033df/m1-20260923T073515Z-f272ee7b
07:46:08 start m1 ['offboard_rejected', 'timeout'] attempt 1
07:56:30 end m1 ['offboard_rejected', 'timeout'] attempt 1: status=passed passed=6/6 isolation=True run=1Z-1e7033df/m1-20260923T074609Z-527d6533
07:56:42 start m1 ['heartbeat_takeoff', 'heartbeat_cruise'] attempt 1
08:05:51 end m1 ['heartbeat_takeoff', 'heartbeat_cruise'] attempt 1: status=passed passed=6/6 isolation=True run=1Z-1e7033df/m1-20260923T075643Z-1f090a82
08:06:04 start m1 ['observation_stale', 'lease_expired'] attempt 1
08:17:17 end m1 ['observation_stale', 'lease_expired'] attempt 1: status=passed passed=6/6 isolation=True run=1Z-1e7033df/m1-20260923T080607Z-707cd942
08:17:29 start m1 ['energy_low', 'energy_critical'] attempt 1
08:26:43 end m1 ['energy_low', 'energy_critical'] attempt 1: status=passed passed=6/6 isolation=True run=1Z-1e7033df/m1-20260923T081729Z-508a6c1c
08:26:54 start m1 ['geofence', 'cancel_takeoff'] attempt 1
08:36:23 end m1 ['geofence', 'cancel_takeoff'] attempt 1: status=failed passed=6/6 isolation=False run=1Z-1e7033df/m1-20260923T082654Z-02ccc110
08:36:36 start m1 ['geofence', 'cancel_takeoff'] attempt 2
08:45:32 end m1 ['geofence', 'cancel_takeoff'] attempt 2: status=passed passed=6/6 isolation=True run=1Z-1e7033df/m1-20260923T083637Z-62277808
08:45:45 start m1 ['cancel_cruise', 'cancel_landing'] attempt 1
08:56:00 end m1 ['cancel_cruise', 'cancel_landing'] attempt 1: status=passed passed=6/6 isolation=True run=1Z-1e7033df/m1-20260923T084546Z-c87b88ed
08:56:12 start m1 ['pause_resume', 'pause_timeout'] attempt 1
09:13:00 end m1 ['pause_resume', 'pause_timeout'] attempt 1: status=passed passed=6/6 isolation=True run=1Z-1e7033df/m1-20260923T085613Z-bc3dc1c7
09:13:12 start m1 ['uplink_lost', 'mode_takeover'] attempt 1
09:23:36 end m1 ['uplink_lost', 'mode_takeover'] attempt 1: status=passed passed=6/6 isolation=True run=1Z-1e7033df/m1-20260923T091312Z-f8949162
09:23:48 start m1 ['fc_failsafe', 'localization_lost'] attempt 1
09:33:38 end m1 ['fc_failsafe', 'localization_lost'] attempt 1: status=passed passed=6/6 isolation=True run=1Z-1e7033df/m1-20260923T092349Z-de1be775
